beer_name,brewery,style,abv,ibu,comment,rating,brewery_country,brewery_city,brewery_state,date
IRA,Double Mountain Brewery & Taproom,IPA - American,6.5,65,Pretty good.  Needs a little more red/malty flavor.,3.5,United States,Hood River,OR,2015-11-07
S'more Stout,Base Camp Brewing Company,Stout - American,7.7,70,NA,4,United States,Portland,OR,2015-11-07
New Wave Amber,Base Camp Brewing Company,Lager - American Amber / Red,5.6,20,NA,4,United States,Portland,OR,2015-11-07
Envy (7 Deadly Sins),Reverend Nat's Hard Cider,Cider,10.2,85,Huge apple flavor followed by straight booze tastes and then a little hops to finish.,4.5,United States,Portland,OR,2015-11-08
Black Widow Porter,McMenamins,Porter - American,7.35,38,NA,4.25,United States,Portland,OR,2015-11-08
Ruby,McMenamins,Fruit Beer,4,5,Tasty raspberry ale,4,United States,Portland,OR,2015-11-08
Pumpkin Ale,Laurelwood Brewing Co.,Pumpkin / Yam Beer,7.5,25,Solid,4,United States,Portland,OR,2015-11-13
Fall Saison,Laurelwood Brewing Co.,Saison / Farmhouse Ale,6.4,25,Mighty hoppy saison.  Pretty good.,3.5,United States,Portland,OR,2015-11-13
Space Stout,Laurelwood Brewing Co.,Stout - Other,6.5,0,"Great coffee, chocolate, and roasty flavors",4.5,United States,Portland,OR,2015-11-13
Anchor Steam Beer,Anchor Brewing Company,California Common,4.8,35,Not too shabby,3.5,United States,San Francisco,CA,2015-11-13
Ace Pineapple Cider,Ace Cider (The California Cider Company),Cider,5,0,Delicious!,4.5,United States,Sebastopol,CA,2015-11-14
Double Chocolate Stout,Rogue Ales & Spirits,Stout - American Imperial / Double,8.8,68,Perfect chocolate flavor,5,United States,Newport,OR,2015-11-14
Hazelnut Brown Nectar,Rogue Ales & Spirits,Brown Ale - American,5.6,33,So good on tap,5,United States,Newport,OR,2015-11-14
Mocha Porter,Rogue Ales & Spirits,Porter - American,5.3,54,Decent,3,United States,Newport,OR,2015-11-14
Fresh Roast Brown Ale,Issaquah Brew House (Rogue Ales),Brown Ale - Belgian,0,0,Excellent brown,4.5,United States,Issaquah,WA,2015-11-14
American Amber Ale,Rogue Ales & Spirits,Red Ale - American Amber / Red,5.3,53,NA,3.75,United States,Newport,OR,2015-11-14
Rogue Farms OREgasmic Ale,Rogue Ales & Spirits,Pale Ale - American,6.6,77,Roasty and excellently malty,4.5,United States,Newport,OR,2015-11-15
Shakespeare Oatmeal Stout,Rogue Ales & Spirits,Stout - Oatmeal,6,69,Tasty on nitro,4.25,United States,Newport,OR,2015-11-15
Yellow Snow IPA,Rogue Ales & Spirits,IPA - American,6.6,82,"Tons of hops, interesting taste",4,United States,Newport,OR,2015-11-15
XS Russian Imperial Stout,Rogue Ales & Spirits,Stout - Russian Imperial,11,88,"Wow, that's a strong stout",4.25,United States,Newport,OR,2015-11-15
Vina,21st Amendment Brewery,Blonde Ale - Belgian Blonde / Golden,5.4,10,Tasty easy-drinking Belgian,4,United States,San Francisco,CA,2015-11-16
Dr Frudi,21st Amendment Brewery,Pale Ale - American,5.6,35,Classic hoppy pale,4,United States,San Francisco,CA,2015-11-16
Bruges Rouge,21st Amendment Brewery,Other,6.9,65,Tasty IRA.  Not too much Belgian flavor.,4.25,United States,San Francisco,CA,2015-11-16
Kriek Forte D'Or,21st Amendment Brewery,Belgian Strong Pale Ale,9.5,26,"Still don't like strong Belgians.  If I did, I would probably like this.",3,United States,San Francisco,CA,2015-11-16
Brew Free! or Die IPA,21st Amendment Brewery,IPA - American,7,70,Hoppy and tasty,4,United States,San Francisco,CA,2015-11-16
Drunken Monk Ale,21st Amendment Brewery,Belgian Strong Dark Ale,9.3,37,Way too much Belgian here,2,United States,San Francisco,CA,2015-11-16
Punkuccino Coffee Pumpkin Ale (2015),Elysian Brewing,Pumpkin / Yam Beer,5,0,NA,4.25,United States,Seattle,WA,2015-11-18
Salted Caramel Brownie Brown Ale,New Belgium Brewing Company,Brown Ale - American,6.3,14,Even better on tap!,4.75,United States,Fort Collins,CO,2015-11-18
Cinnamon Pear Cider,Atlas Cider Company,Cider,8.5,0,Sweet and delicious,4.75,United States,Bend,OR,2015-11-18
I Like My Sugar With Coffee & Cream,Ex Novo Brewing,Cream Ale,4.5,15,Meh.  A little bland.,3,United States,Portland,OR,2015-11-18
Winter Abbey Spice,Reverend Nat's Hard Cider,Cider,7.4,0,Big cinnamon flavors and can taste the alcohol in a subtle and excellent way,4.75,United States,Portland,OR,2015-11-18
Imperial Black Ipa,Culmination Brewery,Dark Ale,5,0,Hoppy and smooth imperial IBA,4.25,United States,Portland,OR,2015-11-18
Kölsch,Double Mountain Brewery & Taproom,Kölsch,5.2,40,Solid German brew,4,United States,Hood River,OR,2015-11-21
Belgian White,Blue Moon Brewing Company,Witbier,5.4,9,"A little sweet, but not terrible.  Amazing this used to be my go-to beer.",2.75,United States,Denver,CO,2015-11-22
Noir,Ninkasi Brewing Company,Stout - Milk / Sweet,7.6,60,"Excellent coffee, cream, and chocolate flavors",4.5,United States,Eugene,OR,2015-11-26
'Alalā Hawaiian Crow Porter,Mehana Brewing Company,Porter - American,5.25,27,NA,4,United States,Hilo,HI,2015-11-28
Peanut Butter Milk Stout,Belching Beaver Brewery,Stout - Milk / Sweet,5.3,30,NA,3,United States,Vista,CA,2015-11-28
Koko Brown,Kona Brewing Company,Brown Ale - American,5.5,28,Coconutty delicious,4,United States,Kailua-Kona,HI,2015-11-29
Pipeline Porter,Kona Brewing Company,Porter - American,5.3,23,Excellent coffee flavors,4.5,United States,Kailua-Kona,HI,2015-11-29
